audio_number,file_name,audio_duration_sec
1,1.wav,26.72
2,2.wav,27.36
3,3.wav,35.0
4,4.wav,27.0
5,5.wav,28.16
6,6.wav,24.06
7,7.wav,29.160000000000004
8,8.wav,23.16
9,9.wav,27.44
10,10.wav,26.8
11,11.wav,25.2
12,12.wav,32.0
13,13.wav,34.0
14,14.wav,41.0
15,15.wav,44.0
16,16.wav,24.520000000000003
17,17.wav,25.36
18,18.wav,30.0
19,19.wav,28.16
20,20.wav,22.32
21,21.wav,23.0
22,22.wav,22.0
24,24.wav,29.0
25,25.wav,31.0
26,26.wav,33.0
27,27.wav,36.0
29,29.wav,34.0
30,30.wav,35.88
31,31.wav,29.6
32,32.wav,29.0
33,33.wav,33.92
34,34.wav,27.12
35,35.wav,36.2
36,36.wav,31.12
37,37.wav,23.88
38,38.wav,24.84
39,39.wav,21.0
40,40.wav,27.28
41,41.wav,31.62
42,42.wav,24.2
43,43.wav,25.0
44,44.wav,22.28
45,45.wav,30.96
46,46.wav,24.84
47,47.wav,24.12
48,48.wav,29.8
49,49.wav,26.6
50,50.wav,26.24
51,51.wav,30.64
52,52.wav,18.52
55,55.wav,17.64
56,56.wav,22.72
57,57.wav,24.28
58,58.wav,25.08
59,59.wav,22.64
60,60.wav,24.28
61,61.wav,29.520000000000003
62,62.wav,24.76
