ROW_INDEX,MAPPED_NAME,GT_NAME,QUANTITY,GT_QUANTITY,ERROR_TYPE
18,ANGIFREE 20 MG,ANGIZAAR AT,2,2,FUZZY_NAME_MISMATCH
51,BBC SYRUP,BBC TABLET,25,25,FUZZY_NAME_MISMATCH
62,BACTIREST,BACTIREST M,996,996,FUZZY_NAME_MISMATCH
65,BACTOCLAV,BACTOCLAV SYRUP,1293,1293,FUZZY_NAME_MISMATCH
77,C 37,C 37 60 ML,1,1,FUZZY_NAME_MISMATCH
105,CALCULATE,CALCULATE D3,4,4,FUZZY_NAME_MISMATCH
106,CALCI D3,CALEAT KD,2,2,FUZZY_NAME_MISMATCH
107,CALCI D3,CALEAT KD PLUS,5,5,FUZZY_NAME_MISMATCH
112,DAJIO GM 2,DAJIO GM FORTE 2,8,8,FUZZY_NAME_MISMATCH
119,DAJIO M 500,DAONIL,5,5,FUZZY_NAME_MISMATCH
132,DAPALEX 10 MG,DAPAMAC 10,2,2,FUZZY_NAME_MISMATCH
133,DAPALEX 5 MG,DAPAMAC 5,1,1,FUZZY_NAME_MISMATCH
134,DAPALEX 5 MG,DAPAMAC L,6,6,FUZZY_NAME_MISMATCH
154,DAPANOVA M 10 / 1000,DAPANOVA S 10 / 100,6,6,FUZZY_NAME_MISMATCH
161,DAPAMAC M 10 / 1000,DAPAONE M 10 / 1000,6,6,FUZZY_NAME_MISMATCH
162,DAPAMAC M 10 / 500,DAPAONE M 10 / 500,7,7,FUZZY_NAME_MISMATCH
163,DAPAMAC M 5 / 1000,DAPAONE M 5 / 1000,3,3,FUZZY_NAME_MISMATCH
164,DAPAMAC M 5 / 500,DAPAONE M 5 / 500,1,1,FUZZY_NAME_MISMATCH
169,DAPAONE S  5 / 50,DAPOLAST 30,4,4,FUZZY_NAME_MISMATCH
173,DAROLAC,DAROLAC MINI,6,6,FUZZY_NAME_MISMATCH
175,DAROLAC,DAROLAC 30 ML,2,2,FUZZY_NAME_MISMATCH
176,DAROLAC,DAROLAC AQUA,4,4,FUZZY_NAME_MISMATCH
177,DAROLAC,DAROLAC IBS,3,3,FUZZY_NAME_MISMATCH
178,DAROLAC,DAROLAC SC POUCH,2,2,FUZZY_NAME_MISMATCH
198,ECOSAFE,ECOSAFE Z,3,3,FUZZY_NAME_MISMATCH
205,ECOSPRIN GOLD 10,ECOSPRIN GOLD 10 FORTE,6,6,FUZZY_NAME_MISMATCH
229,ELBRON H,EL D3  X1,2,1,FUZZY_NAME_MISMATCH
246,OFLOMAC M,OFLOMAC M FORTE,8,8,FUZZY_NAME_MISMATCH
278,ULCON,UNIMYLIN,2549,2549,FUZZY_NAME_MISMATCH
